Educational Use Only

Time (ModJDate)        x (m)           y (m)           z (m)        vx (m/sec)      vy (m/sec)      vz (m/sec)     ax (m/sec^2)    ay (m/sec^2)    az (m/sec^2)
 53736.50844907     4277746.660     4562242.245     2632991.117    -5775.857275     4698.481798     2708.822305       -5.459163       -5.822112       -3.369776
 53736.50856481     4219716.590     4608935.209     2659910.419    -5830.010473     4640.036588     2674.995100       -5.371411       -5.866741       -3.395555
 53736.50868056     4161149.382     4655041.508     2686490.171    -5883.284227     4581.150750     2640.913400       -5.283278       -5.910237       -3.420675
 53736.50879630     4102053.849     4700556.793     2712727.861    -5935.674825     4521.835623     2606.583781       -5.194784       -5.952600       -3.445139
 53736.50891204     4042438.841     4745476.827     2738621.042    -5987.178782     4462.102531     2572.012811       -5.105953       -5.993831       -3.468946
 53736.50902778     3982313.240     4789797.488     2764167.334    -6037.792838     4401.962778     2537.207046       -5.016807       -6.033932       -3.492098
 53736.50914352     3921685.960     4833514.765     2789364.422    -6087.513954     4341.427650     2502.173032       -4.927369       -6.072906       -3.514596
 53736.50925926     3860565.947     4876624.761     2814210.056    -6136.339313     4280.508406     2466.917298       -4.837660       -6.110756       -3.536442
 53736.50937500     3798962.169     4919123.690     2838702.051    -6184.266314     4219.216277     2431.446357       -4.747701       -6.147484       -3.557638
 53736.50949074     3736883.623     4961007.880     2862838.287    -6231.292570     4157.562463     2395.766706       -4.657514       -6.183093       -3.578185
 53736.50960648     3674339.327     5002273.771     2886616.711    -6277.415910     4095.558128     2359.884817       -4.567121       -6.217588       -3.598086
 53736.50972222     3611338.321     5042917.912     2910035.331    -6322.634369     4033.214398     2323.807142       -4.476542       -6.250973       -3.617342
 53736.50983796     3547889.662     5082936.965     2933092.223    -6366.946193     3970.542357     2287.540109       -4.385797       -6.283251       -3.635958
 53736.50995370     3484002.424     5122327.701     2955785.523    -6410.349830     3907.553046     2251.090120       -4.294908       -6.314428       -3.653934
 53736.51006944     3419685.697     5161087.004     2978113.436    -6452.843931     3844.257456     2214.463547       -4.203893       -6.344508       -3.671275
 53736.51018519     3354948.581     5199211.866     3000074.227    -6494.427347     3780.666529     2177.666736       -4.112774       -6.373496       -3.687982
 53736.51030093     3289800.189     5236699.387     3021666.225    -6535.099123     3716.791154     2140.705999       -4.021569       -6.401398       -3.704060
 53736.51041667     3224249.640     5273546.777     3042887.821    -6574.858498     3652.642163     2103.587617       -3.930297       -6.428220       -3.719512
 53736.51053241     3158306.062     5309751.354     3063737.472    -6613.704903     3588.230331     2066.317836       -3.838978       -6.453968       -3.734341
 53736.51064815     3091978.587     5345310.543     3084213.694    -6651.637954     3523.566370     2028.902866       -3.747629       -6.478647       -3.748550
 53736.51076389     3025276.348     5380221.877     3104315.066    -6688.657454     3458.660929     1991.348882       -3.656270       -6.502265       -3.762144
 53736.51087963     2958208.483     5414482.992     3124040.229    -6724.763384     3393.524593     1953.662019       -3.564918       -6.524827       -3.775127
 53736.51099537     2890784.125     5448091.634     3143387.884    -6759.955907     3328.167876     1915.848371       -3.473592       -6.546342       -3.787502
 53736.51111111     2823012.408     5481045.650     3162356.794    -6794.235357     3262.601223     1877.913994       -3.382307       -6.566816       -3.799273
 53736.51122685     2754902.460     5513342.993     3180945.782    -6827.602244     3196.835006     1839.864899       -3.291082       -6.586256       -3.810446
 53736.51134259     2686463.403     5544981.719     3199153.729    -6860.057245     3130.879523     1801.707056       -3.199932       -6.604670       -3.821024
 53736.51145833     2617704.352     5575959.987     3216979.580    -6891.601201     3064.744995     1763.446388       -3.108876       -6.622066       -3.831012
 53736.51157407     2548634.413     5606276.056     3234422.334    -6922.235120     2998.441564     1725.088775       -3.017927       -6.638452       -3.840414
 53736.51168981     2479262.679     5635928.288     3251481.052    -6951.960164     2931.979295     1686.640047       -2.927103       -6.653835       -3.849235
 53736.51180556     2409598.234     5664915.146     3268154.851    -6980.777655     2865.368168     1648.105990       -2.836419       -6.668225       -3.857481
 53736.51192130     2339650.146     5693235.189     3284442.906    -7008.689066     2798.618080     1609.492339       -2.745890       -6.681629       -3.865155
 53736.51203704     2269427.468     5720887.077     3300344.451    -7035.696021     2731.738844     1570.804781       -2.655531       -6.694056       -3.872263
 53736.51215278     2198939.235     5747869.567     3315858.774    -7061.800290     2664.740187     1532.048952       -2.565355       -6.705515       -3.878810
 53736.51226852     2128194.465     5774181.515     3330985.221    -7087.003787     2597.631747     1493.230436       -2.475378       -6.716014       -3.884801
 53736.51238426     2057202.155     5799821.868     3345723.192    -7111.308563     2530.423073     1454.354768       -2.385614       -6.725563       -3.890241
 53736.51250000     1985971.282     5824789.674     3360072.144    -7134.716811     2463.123626     1415.427428       -2.296075       -6.734170       -3.895136
 53736.51261574     1914510.799     5849084.069     3374031.587    -7157.230854     2395.742772     1376.453843       -2.206775       -6.741846       -3.899491
 53736.51273148     1842829.637     5872704.289     3387601.085    -7178.853147     2328.289788     1337.439387       -2.117727       -6.748598       -3.903311
 53736.51284722     1770936.700     5895649.655     3400780.256    -7199.586272     2260.773854     1298.389380       -2.028943       -6.754437       -3.906602
 53736.51296296     1698840.867     5917919.586     3413568.771    -7219.432936     2193.204060     1259.309086       -1.940437       -6.759372       -3.909370
 53736.51307870     1626550.987     5939513.587     3425966.354    -7238.395966     2125.589396     1220.203714       -1.852218       -6.763412       -3.911619
 53736.51319444     1554075.883     5960431.254     3437972.779    -7256.478307     2057.938759     1181.078418       -1.764301       -6.766568       -3.913355
 53736.51331019     1481424.346     5980672.272     3449587.873    -7273.683021     1990.260949     1141.938294       -1.676695       -6.768849       -3.914585
 53736.51342593     1408605.138     6000236.412     3460811.513    -7290.013279     1922.564668     1102.788383       -1.589412       -6.770264       -3.915314
 53736.51354167     1335626.985     6019123.532     3471643.625    -7305.472364     1854.858518     1063.633668       -1.502462       -6.770824       -3.915547
 53736.51365741     1262498.583     6037333.577     3482084.186    -7320.063661     1787.151007     1024.479074       -1.415856       -6.770538       -3.915290
 53736.51377315     1189228.593     6054866.576     3492133.223    -7333.790662     1719.450539      985.329471       -1.329604       -6.769417       -3.914550
 53736.51388889     1115825.639     6071722.639     3501790.809    -7346.656955     1651.765421      946.189669       -1.243716       -6.767470       -3.913331
 53736.51400463     1042298.310     6087901.963     3511057.065    -7358.666227     1584.103862      907.064420       -1.158201       -6.764707       -3.911640
 53736.51412037      968655.158     6103404.822     3519932.161    -7369.822258     1516.473966      867.958418       -1.073069       -6.761139       -3.909483
 53736.51423611      894904.696     6118231.574     3528416.313    -7380.128921     1448.883741      828.876300       -0.988329       -6.756775       -3.906865
 53736.51435185      821055.398     6132382.656     3536509.782    -7389.590174     1381.341093      789.822643       -0.903989       -6.751625       -3.903792
 53736.51446759      747115.697     6145858.581     3544212.876    -7398.210064     1313.853826      750.801965       -0.820058       -6.745700       -3.900270
 53736.51458333      673093.988     6158659.942     3551525.946    -7405.992717     1246.429644      711.818728       -0.736543       -6.739010       -3.896304
 53736.51469907      598998.620     6170787.409     3558449.390    -7412.942341     1179.076152      672.877333       -0.653453       -6.731564       -3.891902
 53736.51481481      524837.903     6182241.726     3564983.647    -7419.063221     1111.800852      633.982123       -0.570795       -6.723373       -3.887068
 53736.51493056      450620.103     6193023.712     3571129.200    -7424.359716     1044.611145      595.137383       -0.488577       -6.714447       -3.881809
 53736.51504630      376353.442     6203134.259     3576886.577    -7428.836256      977.514333      556.347339       -0.406806       -6.704796       -3.876130
 53736.51516204      302046.096     6212574.332     3582256.343    -7432.497343      910.517616      517.616159       -0.325488       -6.694429       -3.870037
 53736.51527778      227706.198     6221344.968     3587239.110    -7435.347542      843.628094      478.947951       -0.244629       -6.683358       -3.863537
 53736.51539352      153341.833     6229447.275     3591835.526    -7437.391484      776.852768      440.346768       -0.164237       -6.671592       -3.856634
 53736.51550926       78961.040     6236882.427     3596046.282    -7438.633861      710.198537      401.816602       -0.084317       -6.659141       -3.849334
 53736.51562500        4571.812     6243651.672     3599872.108    -7439.079425      643.672202      363.361390       -0.004876       -6.646014       -3.841644
 53736.51574074      -69817.908     6249756.320     3603313.772    -7438.732984      577.280465      324.985008        0.074083       -6.632223       -3.833569
 53736.51585648     -144200.224     6255197.752     3606372.083    -7437.599400      511.029928      286.691277        0.152552       -6.617776       -3.825115
